nround,eta,subsample,min_child_weight,max_depth,train_rmse,test_rmse
550,0.03,0.3333333333333333,1,4,306.030029,646.4939203010676
550,0.03,0.5,1,4,275.683319,665.3444400949774
550,0.03,0.75,1,4,255.180923,635.63384789575
550,0.03,0.3333333333333333,1,5,217.829224,642.800615486748
550,0.03,0.5,1,5,165.050766,592.1606287110178
550,0.03,0.75,1,5,143.656052,591.5596775418328
550,0.03,0.3333333333333333,1,6,142.363892,604.8923820473602
550,0.03,0.5,1,6,100.014084,631.0247285930699
550,0.03,0.75,1,6,79.726532,641.5900504707732
550,0.03,0.3333333333333333,1,7,114.129204,649.3279062305215
550,0.03,0.5,1,7,67.58696,630.9899890871321
550,0.03,0.75,1,7,40.643974,659.5857704558944
550,0.03,0.3333333333333333,2,4,313.303833,635.8672642311199
550,0.03,0.5,2,4,278.61972,602.5046188136275
550,0.03,0.75,2,4,259.447113,603.3020404924615
550,0.03,0.3333333333333333,2,5,212.209763,593.8448710652549
550,0.03,0.5,2,5,172.542465,566.7523681847106
550,0.03,0.75,2,5,150.779984,553.5417192288664
550,0.03,0.3333333333333333,2,6,164.22757,606.7545132397303
550,0.03,0.5,2,6,102.840614,549.9261237314207
550,0.03,0.75,2,6,83.879776,575.8733429750156
550,0.03,0.3333333333333333,2,7,119.703209,588.3916668928546
550,0.03,0.5,2,7,71.482117,581.4172858625532
550,0.03,0.75,2,7,43.246986,593.2469818517831
550,0.03,0.3333333333333333,3,4,329.717163,640.1440950487331
550,0.03,0.5,3,4,285.973358,612.8277112356845
550,0.03,0.75,3,4,264.408813,607.8965723912156
550,0.03,0.3333333333333333,3,5,223.644775,547.4396430603091
550,0.03,0.5,3,5,176.701157,550.1531083685303
550,0.03,0.75,3,5,157.848877,552.090039632635
550,0.03,0.3333333333333333,3,6,176.515732,591.7592651914324
550,0.03,0.5,3,6,112.732651,555.1183118282934
550,0.03,0.75,3,6,88.349014,538.9614911682063
550,0.03,0.3333333333333333,3,7,144.376877,586.8703988166324
550,0.03,0.5,3,7,83.008865,559.6754321870103
550,0.03,0.75,3,7,49.521225,555.6103388167935
550,0.03,0.3333333333333333,4,4,339.215881,626.0579492508854
550,0.03,0.5,4,4,297.68219,609.744564042798
550,0.03,0.75,4,4,274.166779,591.905753739723
550,0.03,0.3333333333333333,4,5,245.065582,585.3779557196408
550,0.03,0.5,4,5,185.061935,546.0926220369282
550,0.03,0.75,4,5,165.265274,544.8638430481409
550,0.03,0.3333333333333333,4,6,195.772919,577.2081170297101
550,0.03,0.5,4,6,134.598785,549.3238876399503
550,0.03,0.75,4,6,101.044151,546.7193502684306
550,0.03,0.3333333333333333,4,7,167.463882,542.5320695473052
550,0.03,0.5,4,7,106.737694,540.6192687203654
550,0.03,0.75,4,7,62.802391,552.5025007020208
550,0.05,0.3333333333333333,1,4,227.259842,634.2173422074039
550,0.05,0.5,1,4,199.4254,598.7269878507367
550,0.05,0.75,1,4,182.439529,598.0529057038605
550,0.05,0.3333333333333333,1,5,136.397659,630.5937914925482
550,0.05,0.5,1,5,108.883629,595.6659056322417
550,0.05,0.75,1,5,93.732361,600.1816550157303
550,0.05,0.3333333333333333,1,6,86.936592,669.6554254190826
550,0.05,0.5,1,6,53.062122,631.6080153719829
550,0.05,0.75,1,6,39.862167,622.9888126239468
550,0.05,0.3333333333333333,1,7,58.444092,636.9830236255718
550,0.05,0.5,1,7,25.907734,681.4305489891525
550,0.05,0.75,1,7,14.926579,643.1383258787934
550,0.05,0.3333333333333333,2,4,240.653442,589.845532465086
550,0.05,0.5,2,4,201.473129,603.5114177042577
550,0.05,0.75,2,4,184.685013,575.1482231632085
550,0.05,0.3333333333333333,2,5,144.540466,578.0529705347734
550,0.05,0.5,2,5,108.373329,568.4108729219251
550,0.05,0.75,2,5,90.284714,554.0801758107849
550,0.05,0.3333333333333333,2,6,103.519829,594.6590520802046
550,0.05,0.5,2,6,54.445259,579.6060896417828
550,0.05,0.75,2,6,41.370525,570.114446367857
550,0.05,0.3333333333333333,2,7,64.063049,581.6728169651088
550,0.05,0.5,2,7,29.24135,551.3355827742521
550,0.05,0.75,2,7,16.910097,606.0485406347609
550,0.05,0.3333333333333333,3,4,253.939056,602.7420722905656
550,0.05,0.5,3,4,199.623856,575.2132866706493
550,0.05,0.75,3,4,195.466476,573.970718968617
550,0.05,0.3333333333333333,3,5,157.102509,556.7151865147711
550,0.05,0.5,3,5,120.864159,566.8485037960751
550,0.05,0.75,3,5,102.700012,544.5079275281271
550,0.05,0.3333333333333333,3,6,112.404045,581.3487053064051
550,0.05,0.5,3,6,65.210266,551.8529934863951
550,0.05,0.75,3,6,48.359917,562.452987381515
550,0.05,0.3333333333333333,3,7,87.439331,552.408528725278
550,0.05,0.5,3,7,41.515659,544.6720432760487
550,0.05,0.75,3,7,21.363974,544.6974424933395
550,0.05,0.3333333333333333,4,4,272.782166,578.0459420593667
550,0.05,0.5,4,4,213.45047,578.9505912217664
550,0.05,0.75,4,4,192.128311,549.7265854508344
550,0.05,0.3333333333333333,4,5,179.76178,555.213437354303
550,0.05,0.5,4,5,123.712181,569.76799584937
550,0.05,0.75,4,5,106.391525,538.0448105370159
550,0.05,0.3333333333333333,4,6,144.008652,559.7097464734633
550,0.05,0.5,4,6,78.614212,514.1292827251335
550,0.05,0.75,4,6,52.875896,543.8090120557342
550,0.05,0.3333333333333333,4,7,107.487114,581.8826169700172
550,0.05,0.5,4,7,60.38855,537.6673315906414
550,0.05,0.75,4,7,27.200117,552.6531680955134
550,0.07,0.3333333333333333,1,4,186.570419,602.9693269364241
550,0.07,0.5,1,4,147.431519,624.0768039961046
550,0.07,0.75,1,4,136.73877,626.1272778836517
550,0.07,0.3333333333333333,1,5,100.026855,614.8802422618553
550,0.07,0.5,1,5,75.724052,608.6174480752196
550,0.07,0.75,1,5,59.860386,601.4743545275168
550,0.07,0.3333333333333333,1,6,66.674706,600.9280628410781
550,0.07,0.5,1,6,32.251858,683.2154481449834
550,0.07,0.75,1,6,22.613268,668.2858928075077
550,0.07,0.3333333333333333,1,7,31.336454,663.1648326366584
550,0.07,0.5,1,7,13.19539,638.2988965117702
550,0.07,0.75,1,7,7.874866,678.9719802871876
550,0.07,0.3333333333333333,2,4,192.295929,623.5346746231493
550,0.07,0.5,2,4,152.07666,576.0734090912938
550,0.07,0.75,2,4,139.987564,560.4806354549322
550,0.07,0.3333333333333333,2,5,105.5802,571.9084891228324
550,0.07,0.5,2,5,79.080284,589.9558989400971
550,0.07,0.75,2,5,65.461983,605.4097183288766
550,0.07,0.3333333333333333,2,6,61.766582,569.9304004397275
550,0.07,0.5,2,6,32.017284,568.5167608380549
550,0.07,0.75,2,6,23.827694,564.8915463348401
550,0.07,0.3333333333333333,2,7,33.091244,606.2315011811498
550,0.07,0.5,2,7,17.301525,613.2716197924887
550,0.07,0.75,2,7,7.195143,595.1137717163075
550,0.07,0.3333333333333333,3,4,203.693344,596.3609550600136
550,0.07,0.5,3,4,160.934723,564.5553299327698
550,0.07,0.75,3,4,143.120941,556.6896999561116
550,0.07,0.3333333333333333,3,5,119.60157,545.5559591997702
550,0.07,0.5,3,5,78.476326,549.5574498623056
550,0.07,0.75,3,5,68.395752,552.9572434965078
550,0.07,0.3333333333333333,3,6,82.251259,589.7741643896388
550,0.07,0.5,3,6,41.384228,553.4667715186159
550,0.07,0.75,3,6,27.211182,569.4326976171957
550,0.07,0.3333333333333333,3,7,56.990902,585.824171297854
550,0.07,0.5,3,7,19.196747,563.6210233285293
550,0.07,0.75,3,7,9.106961,569.1317383734114
550,0.07,0.3333333333333333,4,4,209.140472,594.8471742961256
550,0.07,0.5,4,4,172.411469,605.9665350783265
550,0.07,0.75,4,4,149.541122,565.2122486674866
550,0.07,0.3333333333333333,4,5,127.770271,564.6655241759951
550,0.07,0.5,4,5,89.872223,565.6216014638355
550,0.07,0.75,4,5,74.696861,519.161825116249
550,0.07,0.3333333333333333,4,6,85.886009,583.3374091252855
550,0.07,0.5,4,6,46.903057,562.3980036896666
550,0.07,0.75,4,6,31.744247,550.1024152531087
550,0.07,0.3333333333333333,4,7,76.478218,573.6555160243237
550,0.07,0.5,4,7,27.873922,543.5069734676399
550,0.07,0.75,4,7,11.723506,586.664186981774
